# x y u(x,y) v(x,y)
-0.99 -0.01 0.124983 0.000105687
-0.99 0 0.124983 0.000105724
-0.99 0.01 0.124884 0.000105658
-0.99 0.02 0.124684 0.000105487
-0.99 0.03 0.124384 0.000105212
-0.99 0.04 0.123984 0.000104833
-0.99 0.05 0.123484 0.000104351
-0.99 0.06 0.122884 0.000103766
-0.99 0.07 0.122184 0.000103079
-0.99 0.08 0.121384 0.00010229
-0.99 0.09 0.120484 0.000101401
-0.99 0.1 0.119484 0.000100412
-0.99 0.11 0.118385 9.93232e-05
-0.99 0.12 0.117185 9.81371e-05
-0.99 0.13 0.115885 9.68544e-05
-0.99 0.14 0.114485 9.54764e-05
-0.99 0.15 0.112985 9.40045e-05
-0.99 0.16 0.111385 9.24402e-05
-0.99 0.17 0.109685 9.07849e-05
-0.99 0.18 0.107885 8.90405e-05
-0.99 0.19 0.105985 8.72085e-05
-0.99 0.2 0.103985 8.5291e-05
-0.99 0.21 0.101885 8.32897e-05
-0.99 0.22 0.0996855 8.12067e-05
-0.99 0.23 0.0973856 7.90441e-05
-0.99 0.24 0.0949857 7.6804e-05
-0.99 0.25 0.0924857 7.44887e-05
-0.99 0.26 0.0898858 7.21005e-05
-0.99 0.27 0.0871859 6.96418e-05
-0.99 0.28 0.0843859 6.71151e-05
-0.99 0.29 0.081486 6.45228e-05
-0.99 0.3 0.0784861 6.18675e-05
-0.99 0.31 0.0753861 5.9152e-05
-0.99 0.32 0.0721862 5.6379e-05
-0.99 0.33 0.0688862 5.35511e-05
-0.99 0.34 0.0654863 5.06713e-05
-0.99 0.35 0.0619863 4.77424e-05
-0.99 0.36 0.0583864 4.47674e-05
-0.99 0.37 0.0546864 4.17492e-05
-0.99 0.38 0.0508864 3.86908e-05
-0.99 0.39 0.0469865 3.55953e-05
-0.99 0.4 0.0429865 3.24658e-05
-0.99 0.41 0.0388865 2.93054e-05
-0.99 0.42 0.0346865 2.61172e-05
-0.99 0.43 0.0303866 2.29046e-05
-0.99 0.44 0.0259866 1.96705e-05
-0.99 0.45 0.0214866 1.64184e-05
-0.99 0.46 0.0168866 1.31514e-05
-0.99 0.47 0.0121866 9.87279e-06
-0.99 0.48 0.00738663 6.58583e-06
-0.99 0.49 0.00248663 3.29381e-06

-0.98 -0.5 0.00247663 -0
-0.98 -0.49 0.00737664 3.34573e-06
-0.98 -0.48 0.0121767 6.68668e-06
-0.98 -0.47 0.0168767 1.00196e-05
-0.98 -0.46 0.0214767 1.33412e-05
-0.98 -0.45 0.0259767 1.66483e-05
-0.98 -0.44 0.0303768 1.99376e-05
-0.98 -0.43 0.0346768 2.3206e-05
-0.98 -0.42 0.0388769 2.64501e-05
-0.98 -0.41 0.042977 2.96669e-05
-0.98 -0.4 0.046977 3.28532e-05
-0.98 -0.39 0.0508771 3.6006e-05
-0.98 -0.38 0.0546772 3.9122e-05
-0.98 -0.37 0.0583773 4.21984e-05
-0.98 -0.36 0.0619774 4.5232e-05
-0.98 -0.35 0.0654774 4.822e-05
-0.98 -0.34 0.0688776 5.11594e-05
-0.98 -0.33 0.0721777 5.40473e-05
-0.98 -0.32 0.0753778 5.6881e-05
